DATE,DGS10
1974-01-01,7.5624096385542169
1975-01-01,7.9939357429718876
1976-01-01,7.6127200000000000
1977-01-01,7.4176305220883534
1978-01-01,8.4083870967741935
1979-01-01,9.4329435483870968
1980-01-01,11.4334400000000000
1981-01-01,13.9213654618473896
1982-01-01,13.0055020080321285
1983-01-01,11.1030000000000000
1984-01-01,12.4581124497991968
1985-01-01,10.6197983870967742
1986-01-01,7.6728400000000000
1987-01-01,8.3926800000000000
1988-01-01,8.8480000000000000
1989-01-01,8.4937200000000000
1990-01-01,8.5524000000000000
1991-01-01,7.8623600000000000
1992-01-01,7.0088446215139442
1993-01-01,5.8662800000000000
1994-01-01,7.0851807228915663
1995-01-01,6.5739200000000000
1996-01-01,6.4435317460317460
1997-01-01,6.3539600000000000
1998-01-01,5.2628800000000000
1999-01-01,5.6461354581673307
2000-01-01,6.0302788844621514
2001-01-01,5.0206854838709677
2002-01-01,4.6130800000000000
2003-01-01,4.0138800000000000
2004-01-01,4.2713200000000000
2005-01-01,4.2888800000000000
2006-01-01,4.7950000000000000
2007-01-01,4.6346613545816733
2008-01-01,3.6642629482071713
2009-01-01,3.2641200000000000
2010-01-01,3.2150597609561753
2011-01-01,2.7816400000000000
2012-01-01,1.8034400000000000
2013-01-01,2.3501600000000000
2014-01-01,2.5395600000000000
2015-01-01,2.1382868525896414
2016-01-01,1.8374400000000000
2017-01-01,2.3294800000000000
2018-01-01,2.9112449799196787
2019-01-01,2.1414000000000000
